binomial,response,presence,origin,Hand.Wing.Index,Tail.Length,volant,Trophic.Niche,Primary.Lifestyle,ln.Mass,ln.Clutch,ln.Beak.Depth,ln.Beak.Length_Nares,Habitat
Acanthis_flammea,0,Extant,Native,33.1,58.7,1,Granivore,Generalist,2.5649493574615367,1.6094379124341003,1.8718021769015913,2.0541237336955462,3
Accipiter_gentilis,0,Extant,Native,36.3,241.1,1,Vertivore,Generalist,6.763884908562435,1.252762968495368,2.8903717578961645,2.975529566236472,3
Accipiter_nisus,0,Extant,Native,35.5,155.5,1,Vertivore,Insessorial,5.39725731440294,1.55814461804655,2.302585092994046,2.4336133554004498,4
Acrocephalus_arundinaceus,0,Extant,Native,28.6,80.8,1,Invertivore,Insessorial,3.4011973816621555,1.4350845252893227,1.6863989535702288,2.5494451709255714,5+
Acrocephalus_melanopogon,1,Extant,Native,19.3,47.8,1,Invertivore,Insessorial,2.388762789235098,1.3862943611198906,0.9162907318741551,1.9740810260220096,1
Acrocephalus_paludicola,0,Extant,Native,28.4,47.2,1,Invertivore,Insessorial,2.451005098112319,1.596352672885445,1.0647107369924282,1.9459101490553132,2
Acrocephalus_palustris,0,Extant,Native,27.9,56.5,1,Invertivore,Insessorial,2.4423470353692043,1.4838746894587547,1.1939224684724346,2.1041341542702074,5+
Acrocephalus_schoenobaenus,0,Extant,Native,28.2,48.9,1,Invertivore,Insessorial,2.468099531471619,1.7047480922384253,1.0296194171811581,2.1041341542702074,5+
Acrocephalus_scirpaceus,0,Extant,Native,24.3,51.1,1,Invertivore,Insessorial,2.509599262378372,1.3609765531356006,1.0647107369924282,2.163323025660538,4
Actitis_hypoleucos,0,Extant,Native,48,57.4,1,Aquatic predator,Terrestrial,3.871201010907891,1.3862943611198906,1.3862943611198906,2.990719731730447,5+
Aegithalos_caudatus,0,Extant,Native,22,87.8,1,Invertivore,Insessorial,2.151762203259462,2.2925347571405443,1.1939224684724346,1.4350845252893227,4
Aegolius_funereus,0,Extant,Native,31.5,102.5,1,Vertivore,Insessorial,4.921439715291784,1.638025369286013,2.3513752571634776,2.3978952727983707,1
Aegypius_monachus,0,Extant,Native,41.1,371,1,Scavenger,Terrestrial,9.139982283289886,0,3.6838669122903918,4.092676505121403,3
Alauda_arvensis,0,Extant,Native,33.6,67.6,1,Omnivore,Terrestrial,3.6189933266497696,1.2325602611778486,1.547562508716013,2.174751721484161,5+
Alcedo_atthis,0,Extant,Native,26.9,32.3,1,Aquatic predator,Insessorial,3.4372078191851885,1.8718021769015913,2.0014800002101243,3.481240089335692,5+
Alectoris_barbara,0,Extant,Native,28.5,97.2,1,Omnivore,Terrestrial,6.03140615420093,2.4849066497880004,2.2512917986064953,2.653241964607215,3
Alectoris_graeca,0,Extant,Native,36.9,82.3,1,Herbivore terrestrial,Terrestrial,6.3870476553616955,2.3978952727983707,2.163323025660538,2.5494451709255714,2
